Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67,Country Name
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81905345526441,6.86261714436265,8.99310566292433,12.2731530235681,25.2412834143197,17.1765812440492,18.9269108586431,19.2408736415023,16.3069390836579,32.7574278516113,27.8840708702814,20.0886456639291,10.9940121829097,9.65306698724766,9.75775656945116,8.32050519559585,5.59764356639134,7.36169270121206,6.55083898420789,9.05464039856352,7.98566692024531,8.43723705529787,8.51359747402268,8.14964304260788,7.44517906163411,7.67707466095244,8.91045116325366,7.75298574844365,5.34827115582614,6.93737517773844,9.67557550785913,7.4712604836046,7.34815666394106,8.65546255944123,10.1329371868878,12.8789372910603,12.7611238917878,11.3738949218492,13.2447122217506,8.22975926912761,9.49784658703947,13.3877412696104,12.8157884072258,11.598543585044,10.2636843147244,6.21742069912709,5.19073468525021,6.45810018261999,8.45169896327572,7.35174203954287,4.34721305723884,0.0,0.0,0.0,Governance ARB
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance ARB
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79950228424177,2.74943224457465,2.91197899981832,3.05282055028051,3.14992599606707,3.16719962098698,3.20233718802376,3.28078469289778,3.22404741982528,3.19444758793514,3.25356746728702,3.35763821718705,3.39658511229219,3.42482936214163,3.53231909468646,3.68772427908801,3.78771089433464,3.84041875041345,4.0410630061134,4.06896311884473,4.20845277164622,4.20948386437407,4.40120853010497,4.38623074399608,4.43951077811138,4.4505246086133,4.40299930644354,4.35068367804768,4.22233304211785,4.18115800303134,3.92907774447049,0.0,0.0,0.0,Governance ARB
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1481.61059120808,-1539.19239761458,-1585.90027525407,-1463.65316924015,-1237.54297266148,-1291.04691608947,-1206.38528765262,-1024.31373160755,-970.372436480122,-795.301246142261,-570.328685432789,-376.905420928708,-307.489604264415,-307.037588467588,-256.996265248202,-302.588818955331,-275.802577186675,-296.353549669979,-300.579712831073,-331.876805392999,-317.169768141152,-308.63151764619,-300.617570248482,-282.05385730437,-279.416241489503,-270.325424116402,-276.436690553554,-291.77000116161,-282.560631079467,-296.436645893175,-267.794144286181,-238.098005637259,-256.861651116822,-258.618606259193,-255.422584345803,-238.909089657922,-224.676770107057,-214.992896087809,-182.798546833642,-178.609565845771,-186.096075188892,-180.638024912416,-178.499291141439,-164.539204700971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance ARB
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55681339930127,4.8757502165563,5.10757016930159,4.90294332306472,4.68259915358268,4.74073991495077,4.73063162274469,4.72251029824984,4.81523182569208,5.08051546770264,5.14193009291479,5.13181484370318,5.15978134501871,5.07099991183214,5.28435027639294,5.23612221531553,5.20337834257264,5.18390163401395,5.05313742672504,5.09869514463336,5.15200366365874,0.0,0.0,0.0,Governance ARB
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.664784825132,425.484105953951,455.071063820643,470.751417172778,493.082087618352,529.890057210517,562.838819406509,627.137639492078,726.871548218597,788.566132071548,877.807167729276,947.0804774569,989.36438835613,982.083311237427,1007.66658442702,1023.65232875384,1076.38101040603,1137.58596334296,1164.27776942599,1073.38996769801,1090.5210487467,1174.15070314427,1221.60464988029,1260.83731326495,1261.01950502158,1281.7867233355,1299.86586449289,1288.58638817219,1272.81355022959,1272.86335676773,1337.70535185191,1373.01636761518,1364.85885952234,1413.72779084154,1467.57687662786,1531.09662620383,1557.63403018188,1635.93907886893,1677.45725126298,1735.21283749332,1703.94099698835,1802.87005378692,1759.61056735794,1916.30577803737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance ARB
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.2465192248725,83.0567698186162,84.6192627997353,85.5193700687693,85.7991706554729,86.8552185834082,87.5170123122302,88.7740485770486,90.2875998596354,91.372323295903,91.5737040912032,92.2448306294669,93.2632058568525,93.3849900401963,92.8790006808548,93.4155550854619,93.6718333593795,94.2890249197984,94.4086024489082,93.8556246349879,92.7423873376224,94.1493937612999,94.4699617806532,94.1589892635229,94.8709663546966,94.8639232975763,95.0069238303613,94.8558582530761,94.6478484479946,94.9938252828701,95.1990238360381,94.7807673193624,95.1920229910337,95.1913212103822,95.1701452703744,95.4492766145807,96.1258438420962,96.4667311060609,96.2159865409371,95.8911188066165,94.9643872535256,95.0193294858905,96.2270958486696,95.4783427936613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance ARB
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7378108761952,8.11809307299536,-0.593563905303043,10.9960012680075,9.04993182964111,3.37403643798791,-8.28280775338258,-6.20795757702726,1.32749520116475,-2.01349243927616,4.48333551851508,-0.0821038740792517,5.81582794989291,2.19398663827471,12.0542183450358,2.43468813594576,5.15099135223527,3.13955448695511,3.31871305651094,3.00813681222493,4.73644203487417,4.71801036354968,5.12620456613536,1.85444773780235,6.56708335198375,1.74480280015523,0.714608479725982,4.89602246003517,8.83014893074198,5.50528667403019,6.10250240928087,4.5582997678969,5.5483940238329,0.388871582444338,4.72885546403366,3.51258679187201,5.14206340636953,2.61880954923357,2.43032786822792,3.44887817423513,3.68872525092544,1.21868760718675,2.44779469436179,1.37770318410186,-5.07259512082489,3.56360998164421,5.96274507818089,0.0,Governance ARB
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance ARB
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1431239728501,49.2204500511839,49.4705214023803,49.7289058491822,49.9028888021403,49.6226208073528,49.4444610169847,49.2512464312171,49.0270680339461,49.465258585617,49.2196153375295,48.7427309585578,48.176849508731,48.3815648554146,48.5657220866634,48.741140016138,48.9530631192707,49.2126104529628,49.2146691695173,49.3153830226669,49.7931744773935,49.8165075781856,49.822129934929,50.1370551519907,49.8964144871638,49.8692203742454,49.8853662273843,49.1847736713323,48.893259764033,48.8432391123606,47.8270164338649,47.9252750670739,0.0,0.0,Governance ARB
